y,p,r
1.2457,1.0814,-0.3295
1.2352,1.0805,-0.3403
1.2256,1.0798,-0.3503
1.2158,1.0793,-0.3601
1.2059,1.0785,-0.3698
1.1965,1.0775,-0.3788
1.1877,1.0760,-0.3869
1.1800,1.0748,-0.3936
1.1741,1.0749,-0.3985
1.1695,1.0763,-0.4019
1.1650,1.0774,-0.4054
1.1607,1.0780,-0.4091
1.1563,1.0781,-0.4128
1.1524,1.0779,-0.4164
1.1494,1.0778,-0.4190
1.1483,1.0784,-0.4196
1.1498,1.0799,-0.4173
1.1539,1.0821,-0.4126
1.1595,1.0849,-0.4059
1.1656,1.0883,-0.3987
1.1714,1.0920,-0.3920
1.1761,1.0960,-0.3866
1.1795,1.1000,-0.3830
1.1821,1.1046,-0.3805
1.1851,1.1093,-0.3780
1.1893,1.1143,-0.3745
1.1954,1.1200,-0.3690
1.2035,1.1257,-0.3614
1.2130,1.1304,-0.3521
1.2244,1.1337,-0.3409
1.2376,1.1357,-0.3276
1.2524,1.1365,-0.3124
1.2686,1.1358,-0.2954
1.2860,1.1327,-0.2772
1.3044,1.1272,-0.2579
1.3238,1.1196,-0.2378
1.3443,1.1095,-0.2170
1.3655,1.0971,-0.1962
1.3873,1.0826,-0.1752
1.4095,1.0663,-0.1545
1.4318,1.0481,-0.1339
1.4541,1.0277,-0.1134
1.4765,1.0044,-0.0929
1.4992,0.9788,-0.0721
1.5217,0.9514,-0.0514
1.5430,0.9231,-0.0317
1.5624,0.8947,-0.0133
1.5798,0.8674,0.0036
1.5953,0.8414,0.0194
1.6096,0.8167,0.0341
1.6234,0.7931,0.0480
1.6371,0.7695,0.0617
1.6507,0.7459,0.0753
1.6643,0.7214,0.0894
1.6772,0.6956,0.1040
1.6897,0.6691,0.1194
1.7019,0.6428,0.1352
1.7134,0.6177,0.1504
1.7242,0.5946,0.1644
1.7343,0.5743,0.1767
1.7436,0.5570,0.1872
1.7519,0.5420,0.1961
1.7599,0.5275,0.2046
1.7678,0.5118,0.2136
1.7759,0.4936,0.2239
1.7841,0.4727,0.2357
1.7924,0.4492,0.2489
1.8005,0.4238,0.2632
1.8081,0.3984,0.2776
1.8157,0.3741,0.2916
1.8232,0.3519,0.3049
1.8305,0.3315,0.3169
1.8371,0.3116,0.3278
1.8430,0.2921,0.3379
1.8485,0.2715,0.3478
1.8534,0.2481,0.3578
1.8582,0.2226,0.3683
1.8631,0.1958,0.3793
1.8681,0.1696,0.3901
1.8731,0.1455,0.4000
1.8777,0.1239,0.4091
1.8813,0.1052,0.4171
1.8841,0.0893,0.4241
1.8858,0.0745,0.4307
1.8869,0.0586,0.4372
1.8873,0.0404,0.4445
1.8872,0.0183,0.4532
1.8865,-0.0062,0.4631
1.8856,-0.0310,0.4737
1.8847,-0.0535,0.4837
1.8841,-0.0716,0.4925
1.8840,-0.0840,0.4998
1.8848,-0.0911,0.5056
1.8855,-0.0967,0.5107
1.8854,-0.1040,0.5159
1.8847,-0.1145,0.5218
1.8837,-0.1277,0.5284
1.8828,-0.1424,0.5347
1.8820,-0.1565,0.5409
1.8813,-0.1685,0.5464
1.8803,-0.1772,0.5512
1.8793,-0.1833,0.5555
1.8780,-0.1885,0.5591
1.8764,-0.1940,0.5623
1.8752,-0.2000,0.5649
1.8751,-0.2059,0.5665
1.8757,-0.2111,0.5671
1.8770,-0.2150,0.5667
1.8789,-0.2167,0.5655
1.8815,-0.2159,0.5641
1.8850,-0.2124,0.5626
1.8897,-0.2049,0.5611
1.8955,-0.1926,0.5595
1.9026,-0.1747,0.5572
1.9105,-0.1519,0.5538
1.9184,-0.1263,0.5493
1.9257,-0.0998,0.5440
1.9328,-0.0738,0.5386
1.9404,-0.0483,0.5335
1.9494,-0.0216,0.5285
1.9610,0.0081,0.5232
1.9748,0.0423,0.5174
1.9899,0.0816,0.5100
2.0043,0.1265,0.5006
2.0167,0.1765,0.4888
2.0255,0.2299,0.4746
2.0301,0.2854,0.4583
2.0310,0.3414,0.4409
2.0287,0.3969,0.4233
2.0242,0.4501,0.4069
2.0182,0.5004,0.3920
2.0111,0.5476,0.3789
2.0031,0.5919,0.3678
1.9942,0.6347,0.3583
1.9847,0.6760,0.3505
1.9748,0.7159,0.3438
1.9643,0.7541,0.3377
1.9539,0.7910,0.3323
1.9448,0.8266,0.3281
1.9371,0.8597,0.3249
1.9311,0.8897,0.3229
1.9267,0.9168,0.3215
1.9236,0.9417,0.3205
1.9213,0.9660,0.3194
1.9189,0.9903,0.3177
1.9161,1.0152,0.3149
1.9120,1.0413,0.3110
1.9061,1.0683,0.3056
1.8982,1.0962,0.2987
1.8889,1.1251,0.2906
1.8791,1.1539,0.2824
1.8694,1.1816,0.2746
1.8602,1.2071,0.2673
1.8517,1.2305,0.2608
1.8437,1.2524,0.2549
1.8366,1.2725,0.2497
1.8293,1.2910,0.2447
1.8218,1.3082,0.2396
1.8131,1.3241,0.2338
1.8033,1.3388,0.2269
1.7913,1.3516,0.2185
1.7782,1.3612,0.2092
1.7648,1.3663,0.1997
1.7525,1.3668,0.1911
1.7418,1.3632,0.1839
